poste,lieu,entreprise,salaire,note,description
Alternance Data analyste,Saint-Denis,SNCF,Non renseigné,"3,9","Bac+4/5 en Data Analyse. Participation à la réflexion sur les nouveaux projets BI et CRM ( SURF/ Phare). ATTENTION ! Pas de Master 1ère année, diplôme non…&hellip;
Compétences: Power BI, Microsoft Office, Bases de données, SQL, Python"
Architecte DATA – Services Financiers - Ile de France,Paris,Sopra Steria,Non renseigné,"3,6","Vous possédez une forte expérience sur les technologies citées ci-dessus, ainsi qu’une réelle force de proposition en portant les sujets techniques ardus, et un…&hellip;
Compétences: Azure, Kubernetes, Spark, NoSQL, Java"
Data Scientist,Paris,OREL SERVICES,45 k € - 65 k € (fourni par l’employeur),"2,8","Spécialisation : Data Science, complétée d’une expérience de 3 à 5 ans d’industrialisation et de mise en production dans le domaine de l’Intelligence…&hellip;
Compétences: Anglais, NLP, Python"
Data Analyste F/H,Levallois-Perret,Groupe Covéa,Non renseigné,"4,1","Formation Bac +5 statistiques ou de data scientist. Première expérience dans le domaine de la mesure de performance d’actions marketing et communication dans le…&hellip;
Compétences: Microsoft Powerpoint, SAS, Esprit d'analyse"
CDI - DATA SCIENTIST - H/F,Saint-Denis,Generali France,Non renseigné,"3,7","Rattaché à l'entité Distribution, Développement Affinitaire et Partenariats, Generali Partenariats accompagne ses partenaires dans la création de solutions…&hellip;
Compétences: Power BI, Esprit d'analyse, Hadoop"
Data Analyst H/F (en apprentissage),Paris,KERIALIS,Non renseigné,"3,9","Vous êtes à l’aise avec Power BI. Interaction avec les différents services pour répondre à leurs besoins sur la data. Création de rapport Power BI.&hellip;
Compétences: Power BI, SQL, Python"
DATA ANALYST H/F,La Roche-sur-Yon,SOFAR,32 k € - 38 k € (fourni par l’employeur),"3,4","Doté(e) d'un sens profond du relationnel tant sur la communication que sur l'écoute, vous aimez travailler en autonomie dans un cabinet tourné vers l'humain et…&hellip;
Compétences: Power BI, Service client"
Data Analyst Expérimenté (H/F) - LILLE,Lille,Caisse d'Epargne Hauts de France,Non renseigné,"4,0","Vous imaginez les solutions data correspondantes en étant force de proposition avec une bonne connaissance des analyses et outils existants.&hellip;
Compétences: Power BI, Alteryx"
Technicien Informatique & Données – Profil Confirmé H/F,Riorges,L'Heureux Talent,35 k € - 40 k € (fourni par l’employeur),Non noté,"Dans un domaine où l’échec est aussi courant que le succès, la résilience peut être l’une des qualités les plus précieuses. Développement sous Python, C , C++.&hellip;
Compétences: Anglais, Bases de données, C++, Gestion de bases de données, C"
EOS Quality Food Safety Data & Integration Expert F/M/X,Aimargues,Royal Canin S.A.S,Non renseigné,"4,3","Proven experience in data management, analysis, and reporting within manufacturing or food production environments. + 5 years’ experience in R&D / Q&FS roles.&hellip;
Compétences: Anglais, Sécurité alimentaire"
Senior Financial Data Analyst | Deals (M&A) | CDI | H/F,Neuilly,PwC,Non renseigné,"3,7","Dans ce contexte, l'équipe Deal Analytics, en fort développement, réalise des analyses approfondies afin d'apporter des éclairages nouveaux à ses clients, à…&hellip;
Compétences: Power BI, Alteryx, Anglais, Tableau, Finance d'entreprise"
Ingénieur.e en gestion de données techniques,Colmar,Liebherr-Components Colmar SAS,Non renseigné,"3,7","Vous supportez les responsables des différents champs d'applications pour la création et la maintenance des nomenclatures dans le PLM (Product Lifecycle…&hellip;
Compétences: Expérience en mécanique, Anglais, Creo"
Stagiaire Project Manager - Data H/F,Courbevoie,ENGIE,Non renseigné,"3,9","Accompagner l'entité pour évaluer sa conformité à la Data policy du Groupe (la référence pour toute activité liée aux données et comment la data doit être gérée…&hellip;
Compétences: Anglais"
IMH - Data Analyst H/F,Niort,Groupe IMA,38 k € - 42 k € (fourni par l’employeur),"4,0","Le service, composé de 6 personnes, vous permettra de contribuer à la construction et à l’évolution d’indicateurs décisionnels à l’entreprise.&hellip;
Compétences: Microsoft Powerpoint, R, Prise de parole en public, SQL, Python"
Data scientist - Computer vision H/F/X,France,Société Générale,Non renseigné,"3,6","En plus de manipuler des modèles avancés de type Transformers et des architectures multi taches, vous participerez également à tout le processus d’un projet…&hellip;
Compétences: TensorFlow, Statistiques, Spark, Deep learning, NLP"
Concepteur Développeur SI & Data Industrie F/H,Bourges,MBDA France,Non renseigné,"4,5","Établissement soumis à enquête administrative conformément aux dispositions des articles R.2311-1 et suivants du code de la défense et de l’IGI n°1300 du 09…&hellip;
Compétences: Node.js, Git, Anglais, Java, Docker"
Responsable Equipements Liaisons de données SATCOM F/H,Le Plessis-Robinson,MBDA France,Non renseigné,"4,5","Identifier les constellations et services de communication utilisables,. Grâce à vos connaissances et votre expertise dans le domaine, vous contribuez, à…&hellip;
Compétences: Anglais, Esprit d'analyse"
Chef de projet Data F/H,Lyon,APRIL,Non renseigné,"3,5","Vous justifiez d’une expérience d’au moins 5 ans en gestion de projet data, de la phase de cadrage à la mise en production idéalement dans un environnement…&hellip;
Compétences: Jira, SAFe, Gestion de projet, Confluence, Compétences en communication"
Apprenti Data Ingénieur H/F,Cergy-Pontoise,SPIE,Non renseigné,"3,7","Industrialiser les workflows de traitement de données (extractions, agrégations, consolidations, mises à jour) à l’aide de scripts ou d’outils d’orchestration…&hellip;
Compétences: XML, Git, Anglais, Java, SQL"
Data Scientist - Univers Scientifiques (F/H),Vélizy,Dassault Systèmes,Non renseigné,"4,0","Intégrer une entreprise scientifique au cœur de l’innovation technologique, portée par une forte croissance depuis plus de 40 ans.&hellip;
Compétences: Anglais, Esprit d'analyse, NLP, Python"
Data engineer H/F,Paris,Hays France,50 k € - 60 k € (fourni par l’employeur),"3,5","Capacité à travailler sur de multiples projets en parallèle et en autonomie. Autonomie, structure et rigueur dans le travail et l'approche d'un problème à…&hellip;
Compétences: Power BI, Veille économique, Analyse de données, Microsoft SQL Server, Java"
CDD - Business Analyst Data & AI h/f,Vélizy,Siemens,Non renseigné,"4,1","Vous prenez part aux projets liés à l’IA : Vous pilotez la migration des outils existants vers les solutions standards (notamment Power BI), avec le soutien des…&hellip;
Compétences: Power BI, Gestion infomatique"
Junior Business Data Analyst (All Genders),Issy-les-Moulineaux,Dailymotion,Non renseigné,"3,4","Partner with data engineering/data product team to ensure the accurate tracking of publishers related data. Perform advanced data analysis to provide actionable…&hellip;
Compétences: Anglais, Tableau, Python"
Data Scientist H/F,Paris,NEXTON,Non renseigné,"3,4","Tu interviendras au cœur du développement d'une plateforme, en étroite collaboration avec les Product Owners, les chefs de projet, les experts data et les…&hellip;
Compétences: Anglais, Analyse quantitative, Python"
Lead Data Scientist,Libourne,Ceva,Non renseigné,"3,6","At least 5 years of experience in data science, analytics, or related roles. Excellent communication and presentation skills, with the ability to explain…&hellip;
Compétences: R, Machine learning, Leadership, Python"
Business Analyst Data,Paris,OREL SERVICES,40 k € - 60 k € (fourni par l’employeur),"2,8","Environnement technique* : SQL, Power BI, Excel, Jira, Confluence. Rejoignez-nous pour faire le lien entre les enjeux métier et les solutions data performantes.&hellip;
Compétences: Jira, Power BI, SQL, Confluence, Recueil des besoins"
Data Analyst,Paris,OREL SERVICES,40 k € - 50 k € (fourni par l’employeur),"2,8","O Assurer la modelisation et le developpement d'extractions,de rapports et de tableaux de bord o Rediger la documentation fonctionnelle et technique.&hellip;
Compétences: Oracle, Tableau, SQL"
Architecte DATA & IA F/H (DSI/FAB),Paris,RATP EPIC,Non renseigné,"3,8","Etre force de proposition pour l’évolution des briques socle, voire même les développer si vous en avez l'expérience.&hellip;
Compétences: Service client, Spark, NoSQL, Kafka, Compétences en communication"
H/F Data-Analyst,Amiens,INEA SANTE NUMERIQUE HAUTS-DE-FRANCE,30 k € - 38 k € (fourni par l’employeur),"4,5","Création et mise à disposition d’indicateurs sur l’activité des soins d’urgence ; Participer à la promotion de l'ensemble de l'offre de solutions et de services…&hellip;
Compétences: Logiciel statistique, Statistiques, PostgreSQL, Sens de l'organisation, GitLab"
Architecte de données numériques,Lyon,Sanofi EU,Non renseigné,"4,0","Demonstrated technical and functional expertise in Data and AI, encompassing areas like data engineering, data architecture, master data management, data lakes…&hellip;
Compétences: Jira, Modélisation de données, Azure, Schémas, Anglais"
Data Scientist H/F,Paris,Institut Imagine,Non renseigné,"4,1","Bac + 5 : Ecole d’ingénieur ou équivalent en master 2 en informatique, data science. De bases de données pour les équipes de recherche pour la constitution de…&hellip;
Compétences: Compétences en communication"
Apprentissage: Data Scientist Assistant,Poissy,Stellantis,Non renseigné,"3,6","During this experience, your main missions will be: 1) Development of advanced digital tools utilizing technologies available and under license to Stellantis 2)…&hellip;"
Data Analyst Junior H/F,Bourg,RX GROUPE,Non renseigné,Non noté,"Analyse des données / comprendre l’ensemble des données recueillis. Assurer un lien avec les autres Data Analyst. Type d'emploi : Temps plein, CDI, Alternance.&hellip;
Compétences: Power BI, Veille économique, Microsoft Office, SQL, Esprit d'analyse"
Data Visualization Analyst ( Power BI),Maisons-Alfort,AVA2I,40 k € - 60 k € (fourni par l’employeur),"3,1","Assurer la documentation technique et fonctionnelle des reportings. Environnement technique: Outil principal : Microsoft Power BI.&hellip;
Compétences: Power BI, Azure, Oracle, Veille économique, Microsoft SQL Server"
Ingénieur Data Analyst H/F,Metz,UEM,43 k € - 50 k € (fourni par l’employeur),"4,5","Titulaire d’un bac+5, doté(e) d’une forte capacité d’analyse, vous êtes organisé(e), rigoureux(se) et manipulez aisément les données chiffrées et statistiques.&hellip;
Compétences: Esprit d'analyse"
Data Engineer,Paris,Aqemia,Non renseigné,"2,9","Experience with data pipelines, data warehousing, and tools like dbt, Airflow, or Spark. Build reliable, scalable data models and storage systems.&hellip;
Compétences: Spark, Entrepôt de données, Python"
Sport data reporter,Nice,Feedconstruct,"56,00 € - 60,00 € Par heure (fourni par l’employeur)","4,2","An *Android device with internet access*. *Free training* to master the app before covering real games. Your role will be to *attend matches in stadiums/arenas*…&hellip;
Compétences: Anglais, Android"
Data Analyst Expert Tableau - H/F,Paris,Sarenza,Non renseigné,"3,2","En tant que Data Analyst Junior, vous contribuerez activement à l’optimisation des performances commerciales de Sarenza.com en transformant des données brutes…&hellip;
Compétences: Analyse de données, Tableau, Esprit d'analyse, Compétences en communication"
Consultant expérimenté Data - Cloud Integration F/H,Courbevoie,KPMG,Non renseigné,"3,7","L'assistance à l'intégration de solutions SaaS au sein de l'écosystème IT de nos clients,. Le recueil des besoins de différents métiers de nos clients (Finance,…&hellip;
Compétences: Azure, Kubernetes, Anglais, Docker, SSL"
Chef de projets data et IA,Nanterre,AXA,Non renseigné,"4,1","Conduire et accompagner à la réussite les initiatives transformationnelles data de l’IARD Entreprise et Professionnels, souscription et actuariat de par ces…&hellip;
Compétences: Power BI, Analyse de données, SharePoint, Intelligence artificielle"
Développeur data Web / SQL,Pantin,Economat des Armées,Non renseigné,"2,9","Assurer la performance et l'intégrité des bases de données en optimisant les processus d'extraction et de traitement des données.&hellip;
Compétences: Power BI, CSS, Microsoft SQL Server, Bases de données, SQL"
Data Analyst Expérimenté (H/F) - LILLE,Lille,Caisse d'Epargne Hauts de France,Non renseigné,"4,0","Vous imaginez les solutions data correspondantes en étant force de proposition avec une bonne connaissance des analyses et outils existants.&hellip;
Compétences: Power BI, Alteryx"
DATA CUSTODIAN (IT) OFFICER - H/F,Mérignac,BNP Paribas,Non renseigné,"3,8","Vous pilotez les exigences IT, en particulier liées aux impératifs relatifs à la stratégie data du groupe, afin d’assurer la disponibilité, l’accès, la qualité,…&hellip;
Compétences: Français, Anglais, Securité, Technologies de l'information"
Expert Assurance Qualité Data Integrity,Le Trait,Sanofi EU,Non renseigné,"4,0","Prenez bien soin de vous et de votre famille en bénéficiant d’un large éventail d'avantages en matière de santé et de bien-être, y compris des soins de santé de…&hellip;
Compétences: Français, Compétences rédactionnelles, Anglais, Assurance qualité, Compétences en communication"
Data Officer H/F,Marcq,CGI FINANCE,Non renseigné,"3,9","Vous serez force de proposition dans la mise en œuvre de la stratégie de la DATA , en cohérence avec la stratégie du CGI Finance et les enjeux du groupe.&hellip;
Compétences: Oracle, Anglais, SQL"
Alternance - Data analyst junior H/F,Le Coudray-Montceaux,DPD,Non renseigné,"3,1","Mise à jour des dossiers partagés de l'équipe (Sharepoint). Vous préparez un Master (Ecole de commerce, Ecole d’ingénieur, Ecole de transport ou Université)…&hellip;
Compétences: Power BI, Veille économique, Microsoft Office, SharePoint"
Data Product Owner F/H,Issy-les-Moulineaux,Nestlé,Non renseigné,"4,1","Excellentes compétences en communication et maîtrise de l’anglais. 1-3 years of experience in data or product management with strong organizational skills…&hellip;
Compétences: Power BI, Anglais, SQL, Sens de l'organisation, Compétences en communication"
